"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
46.246112,"ethnic_fairtreat_ord","expo_reb_10km_bin","no_int",65222,176148.771875172,175676.323165228,45,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;SLE/6;SLE/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;BDI/5;UGA/6;UGA/2;UGA/3;UGA/5;UGA/4;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6;KEN/5;KEN/4"
14.544952,"ethnic_id_ord","expo_10km_bin","EOSV_state",26766,81491.1016585655,81261.6448028435,19,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;BDI/5"
62.428488,"ethnic_id_ord","expo_10km_bin","no_int",79870,244195.675523465,243647.674343542,52,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;CMR/5;NAM/6;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/3;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
14.51036,"ethnic_id_ord","expo_reb_10km_bin","EOSV_rebel",29409,90934.3260873617,90702.2325185517,19,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;SLE/6;SLE/5;CIV/6;CIV/5;NGA/6;ZAF/5;ZAF/4;ZAF/6;ZAF/3;BDI/5;KEN/6;KEN/5;KEN/4"
41.420936,"ethnic_id_ord","expo_reb_10km_bin","no_int",60758,186802.891878796,186379.203138927,40,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;SLE/6;SLE/5;SEN/4;SEN/3;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/3;NAM/5;NAM/4;ZAF/5;ZAF/4;ZAF/6;ZAF/3;BDI/5;UGA/6;UGA/3;UGA/5;UGA/4;MOZ/5;MOZ/4;MOZ/6;MOZ/3;KEN/6;KEN/5;KEN/4"
16.47112,"ethnic_fairtreat_ord","expo_bf2yr_10km_bin","EOSV_state",30213,78209.4541923758,77951.657337572,22,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
70.691048,"ethnic_fairtreat_ord","expo_bf2yr_10km_bin","no_int",86474,230620.861965489,230002.600426889,59,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/3;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
6.295568,"ethnic_fairtreat_ord","expo_reb_bf2yr_10km_bin","EOSV_rebel",14531,38456.6943417138,38305.0135501674,11,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;CIV/6;CIV/5;NGA/6;BDI/5;KEN/6"
18.217624,"ethnic_fairtreat_ord","expo_reb_bf2yr_10km_bin","no_int",32793,88372.9643463416,88095.8313245619,26,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;BDI/5;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6"
14.545144,"ethnic_id_ord","expo_bf2yr_10km_bin","EOSV_state",26766,81491.4531809616,81261.9963252396,19,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;BDI/5"
61.93596,"ethnic_id_ord","expo_bf2yr_10km_bin","no_int",79870,244199.607318287,243651.606138364,52,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;CMR/5;NAM/6;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/3;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
6.459072,"ethnic_id_ord","expo_reb_bf2yr_10km_bin","EOSV_rebel",15107,46584.1072190178,46431.6489491869,11,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;CIV/6;CIV/5;NGA/6;BDI/5;KEN/6"
17.516152,"ethnic_id_ord","expo_reb_bf2yr_10km_bin","no_int",32315,99835.5108609292,99575.6289702006,24,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/3;NAM/5;NAM/4;BDI/5;MOZ/5;MOZ/4;MOZ/6;MOZ/3;KEN/6"
16.47112,"ethnic_fairtreat_ord","expo_bf5yr_10km_bin","EOSV_state",30213,78232.3763763819,77974.5795215781,22,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
67.436512,"ethnic_fairtreat_ord","expo_bf5yr_10km_bin","no_int",84312,225846.962107336,225249.056220449,57,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6"
6.295568,"ethnic_fairtreat_ord","expo_reb_bf5yr_10km_bin","EOSV_rebel",14531,38456.6943417138,38305.0135501674,11,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;CIV/6;CIV/5;NGA/6;BDI/5;KEN/6"
18.217624,"ethnic_fairtreat_ord","expo_reb_bf5yr_10km_bin","no_int",32793,88372.9643463416,88095.8313245619,26,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;BDI/5;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6"
14.545144,"ethnic_id_ord","expo_bf5yr_10km_bin","EOSV_state",26766,81490.4701720038,81261.0133162818,19,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;BDI/5"
58.790104,"ethnic_id_ord","expo_bf5yr_10km_bin","no_int",77503,237468.417232722,236940.707133039,50,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;CMR/5;NAM/6;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/5;KEN/3;KEN/4;MDG/6"
6.459072,"ethnic_id_ord","expo_reb_bf5yr_10km_bin","EOSV_rebel",15107,46584.1072190178,46431.6489491869,11,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;CIV/6;CIV/5;NGA/6;BDI/5;KEN/6"
