"dep_var","violence_var","int","mean","lwr","upr","lwr90","upr90"
"ethnic_fairtreat_ord","expo_2yr_10km_bin","EOSV_state0",-0.03317538880502,-0.104527382537384,0.0371355264314135,-0.0918577821147441,0.0262669408403166
"ethnic_fairtreat_ord","expo_2yr_10km_bin","EOSV_state1",0.0769787426759075,-0.0183995625561255,0.177338267150024,-0.00573034169901028,0.160029596822551
"ethnic_fairtreat_ord","expo_2yr_10km_bin","no_int",0.01692160858132,-0.0303867099570882,0.0652906395419153,-0.0239767668284258,0.0580503854711337
"ethnic_fairtreat_ord","expo_reb_2yr_10km_bin","EOSV_rebel0",0.102024536308966,0.0197831094238026,0.183758316661485,0.0324968009424081,0.171859902256004
"ethnic_fairtreat_ord","expo_reb_2yr_10km_bin","EOSV_rebel1",0.215455791012141,0.0614304135318833,0.374834146616052,0.0891792200015316,0.348359068577217
"ethnic_fairtreat_ord","expo_reb_2yr_10km_bin","no_int",0.113779299370568,0.0365966092366495,0.193678282858549,0.0456536059673904,0.178606517688703
"ethnic_id_ord","expo_2yr_10km_bin","EOSV_state0",0.0558550126332532,-0.037904265263907,0.147840146828925,-0.0238834565028838,0.136752920241596
"ethnic_id_ord","expo_2yr_10km_bin","EOSV_state1",-0.0247848005256086,-0.134166699037041,0.0762220277993149,-0.117012366540748,0.0656422581326091
"ethnic_id_ord","expo_2yr_10km_bin","no_int",-0.0385624897663352,-0.0949660534179493,0.0181903384779588,-0.0870405730849476,0.0102643739181598
"ethnic_id_ord","expo_reb_2yr_10km_bin","EOSV_rebel0",-0.0614280046490639,-0.15153855551128,0.0260647522214005,-0.137923383909619,0.0142417101466758
"ethnic_id_ord","expo_reb_2yr_10km_bin","EOSV_rebel1",-0.234017418787012,-0.41574846346866,-0.055437970693321,-0.386826137760424,-0.080935513839048
"ethnic_id_ord","expo_reb_2yr_10km_bin","no_int",-0.0844523996401666,-0.17201796475317,0.00104066030020533,-0.159752169936052,-0.0118874329362601
"ethnic_fairtreat_ord","expo_5yr_10km_bin","EOSV_state0",-0.0202876938733393,-0.067888431842622,0.029026949487746,-0.060772132548231,0.0223892005815097
"ethnic_fairtreat_ord","expo_5yr_10km_bin","EOSV_state1",0.186097234440017,0.122623956976957,0.2528611573657,0.132188840107001,0.242737845096321
"ethnic_fairtreat_ord","expo_5yr_10km_bin","no_int",0.0267214419857293,-0.00498577925334076,0.0573047192533951,0.0000605812915811524,0.0521718916057569
"ethnic_fairtreat_ord","expo_reb_5yr_10km_bin","EOSV_rebel0",-0.0246108971051916,-0.100662977658167,0.0495216770216358,-0.0866677787944651,0.0406528627004646
"ethnic_fairtreat_ord","expo_reb_5yr_10km_bin","EOSV_rebel1",0.0443399302831914,-0.0960214746405643,0.188912022662637,-0.0749293993978929,0.161461441895348
"ethnic_fairtreat_ord","expo_reb_5yr_10km_bin","no_int",-0.00811056178141144,-0.0748697214575038,0.060979935232796,-0.0641870296637429,0.0489928899581773
"ethnic_id_ord","expo_5yr_10km_bin","EOSV_state0",0.083538574333358,0.0147494441468752,0.147671578769538,0.0311249304275709,0.135267983185066
"ethnic_id_ord","expo_5yr_10km_bin","EOSV_state1",0.00167430952481563,-0.0834124058939463,0.0828340667445913,-0.0680906935218319,0.0744476648908524
"ethnic_id_ord","expo_5yr_10km_bin","no_int",-0.00206368428621514,-0.0408040163496678,0.0368760688067238,-0.0340946316861422,0.0318548162590512
"ethnic_id_ord","expo_reb_5yr_10km_bin","EOSV_rebel0",-0.110387985839957,-0.185685405197143,-0.03371534450709,-0.179362736082653,-0.0449428960736131
"ethnic_id_ord","expo_reb_5yr_10km_bin","EOSV_rebel1",-0.308982288620422,-0.465438911423722,-0.162791412774229,-0.43739351434375,-0.182506764608205
"ethnic_id_ord","expo_reb_5yr_10km_bin","no_int",-0.159668489633178,-0.235569754838963,-0.086564381663683,-0.221903468535602,-0.0985872345069697
"ethnic_fairtreat_ord","expo_10km_bin","EOSV_state0",-0.0153666170377447,-0.0478478379226479,0.015300227820187,-0.0416915324402622,0.0109535133774507
"ethnic_fairtreat_ord","expo_10km_bin","EOSV_state1",0.167080061571776,0.120919075969185,0.214061109959798,0.129114886629713,0.206966966664286
"ethnic_fairtreat_ord","expo_10km_bin","no_int",0.0263138582345013,0.00889450129687753,0.0437754956256966,0.0120932983023915,0.0406862361841061
"ethnic_fairtreat_ord","expo_reb_10km_bin","EOSV_rebel0",0.0109269407568326,-0.0196116445262479,0.0421464109813126,-0.0160459297432127,0.0366160787394149
"ethnic_fairtreat_ord","expo_reb_10km_bin","EOSV_rebel1",-0.0951851820163592,-0.159645717183372,-0.0362282484413593,-0.148896990349002,-0.0442643924459658
"ethnic_fairtreat_ord","expo_reb_10km_bin","no_int",0.0359736369624567,0.0163133071113286,0.0556937036368592,0.0198325247134875,0.0530520071468901
"ethnic_id_ord","expo_10km_bin","EOSV_state0",0.00547850159381556,-0.0417549517300207,0.0518217743149062,-0.0326609864098151,0.0435311480227304
"ethnic_id_ord","expo_10km_bin","EOSV_state1",0.0295474019760736,-0.0270688969699806,0.086363975214735,-0.0190451764386535,0.0777701079686355
"ethnic_id_ord","expo_10km_bin","no_int",-0.0352034374903115,-0.056815138281277,-0.0123892619244432,-0.053005215275743,-0.0168569154305548
"ethnic_id_ord","expo_reb_10km_bin","EOSV_rebel0",-0.0448455652516721,-0.0826593170534787,-0.00771475510397182,-0.076902379788208,-0.0148602747181094
"ethnic_id_ord","expo_reb_10km_bin","EOSV_rebel1",-0.0893756484605024,-0.164286909751192,-0.0200778100700543,-0.14948055941493,-0.0297500241365406
"ethnic_id_ord","expo_reb_10km_bin","no_int",0.0186663298696242,-0.0058620635102276,0.0428786669093815,-0.00234310384919637,0.0379032286306667
"ethnic_fairtreat_ord","expo_bf2yr_10km_bin","EOSV_state0",-0.0319406733703468,-0.0688914645077693,0.00267736128133498,-0.0624547340242615,-0.00244366194434573
"ethnic_fairtreat_ord","expo_bf2yr_10km_bin","EOSV_state1",0.165234518699494,0.120455527796454,0.209432826353604,0.127393414459636,0.201697026518752
"ethnic_fairtreat_ord","expo_bf2yr_10km_bin","no_int",0.024903045469137,0.00643403784209383,0.0427070613874762,0.00957694739737403,0.0398481378153654
"ethnic_fairtreat_ord","expo_reb_bf2yr_10km_bin","EOSV_rebel0",0.0191076324215332,-0.0272958379234318,0.0663985090671629,-0.0172440280590154,0.057853927194267
"ethnic_fairtreat_ord","expo_reb_bf2yr_10km_bin","EOSV_rebel1",0.0680654516661952,-0.0101298421322886,0.151150931247332,0.0021496611322249,0.139809948929531
