"dep_var","violence_var","int","mean","lwr","upr","lwr90","upr90"
"ethnic_fairtreat","expo_1525_10km_bin","EOSV_state0",0.00516855485816018,-0.0232832472518807,0.0346178534868572,-0.0191505202469291,0.029333456953614
"ethnic_fairtreat","expo_1525_10km_bin","EOSV_state1",0.00812351750481522,-0.0262139918331148,0.0412787640764317,-0.0205693146076673,0.0360443825399776
"ethnic_fairtreat","expo_1525_10km_bin","no_int",-0.00417991216031067,-0.0165198546105786,0.00829060371691892,-0.0144242992851061,0.00582971729099261
"ethnic_fairtreat","expo_reb_1525_10km_bin","EOSV_rebel0",0.00595657979238779,-0.0305572719326723,0.0416023374347562,-0.024708967069569,0.0370483000144326
"ethnic_fairtreat","expo_reb_1525_10km_bin","EOSV_rebel1",-0.0103195176975744,-0.0863734134187602,0.0660887512015115,-0.0735463246496526,0.0559803604680631
"ethnic_fairtreat","expo_reb_1525_10km_bin","no_int",-0.006846669838372,-0.0330377808274606,0.0165920042788933,-0.0293004499243726,0.0133456194266165
"ethnic_id","expo_1525_10km_bin","EOSV_state0",0.0117067652616358,-0.00444910268834975,0.0340441844512232,-0.00220230665362813,0.030610549091818
"ethnic_id","expo_1525_10km_bin","EOSV_state1",-0.0141808689354684,-0.0434501955472799,0.00777721920716967,-0.0379325936610558,0.00510927824572021
"ethnic_id","expo_1525_10km_bin","no_int",0.00462726390272436,-0.00416919067437222,0.0164861362810245,-0.00257104371188192,0.0133400180732388
"ethnic_id","expo_reb_1525_10km_bin","EOSV_rebel0",0.00666899389417795,-0.0218900566791593,0.0396191451183628,-0.0152034190060128,0.0299344114362421
"ethnic_id","expo_reb_1525_10km_bin","EOSV_rebel1",-0.0147058445967504,-0.0702234896025943,0.0298579933223102,-0.0591981796783159,0.0225259054130732
"ethnic_id","expo_reb_1525_10km_bin","no_int",0.0013301779048815,-0.0156369409715862,0.0170327781224664,-0.0118384874865772,0.0132920620857553
"ethnic_fairtreat","expo_1525_25km_bin","EOSV_state0",-0.00735801070860949,-0.0356444156817469,0.0201023391645788,-0.0316398482495725,0.0159283140387497
"ethnic_fairtreat","expo_1525_25km_bin","EOSV_state1",-0.0103578846368678,-0.0444297951001748,0.0226582869301421,-0.0381210188734624,0.0161167589924864
"ethnic_fairtreat","expo_1525_25km_bin","no_int",-0.00914367731058884,-0.0212585576175148,0.0012316926599515,-0.019219487734694,-0.000626915998840807
"ethnic_fairtreat","expo_reb_1525_25km_bin","EOSV_rebel0",-0.00185522377626087,-0.0385528567041979,0.0290922145436791,-0.0312672700865632,0.0250869078018546
"ethnic_fairtreat","expo_reb_1525_25km_bin","EOSV_rebel1",-0.0107436184819778,-0.080045249894477,0.0510020185161847,-0.0683769854121662,0.0465214994335938
"ethnic_fairtreat","expo_reb_1525_25km_bin","no_int",-0.00977361071346711,-0.0324566943434166,0.00848729789898364,-0.0280623264503699,0.00563028827447808
"ethnic_id","expo_1525_25km_bin","EOSV_state0",-0.00180243067030286,-0.0191889362540331,0.0145180894827819,-0.0154248980142803,0.0109081349523113
"ethnic_id","expo_1525_25km_bin","EOSV_state1",-0.0156146063026316,-0.0442315810560731,0.00457155415353602,-0.0378341668470469,0.00117662314579602
"ethnic_id","expo_1525_25km_bin","no_int",0.00102293441047773,-0.00704331404281302,0.00981698816172755,-0.00529879270547165,0.00773883441716279
"ethnic_id","expo_reb_1525_25km_bin","EOSV_rebel0",-0.0196838561209612,-0.0509222918567852,0.00322100767065327,-0.0452791979055469,-0.0012844032906614
