"coef_violence","coef_se_violence","coef_EOSV","coef_se_EOSV","coef_int","coef_se_int","obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country","rounds","round","actor","country2","dep_var_l"
0.928233055226649,0.381046758110331,NA,NA,NA,NA,1.347136,"ethnic_fairtreat","expo_bf5yr_10km_bin","no_int",1054,1352.42458447425,1317.70215037054,"Kenya",NA,4,"state","Kenya (4)","Ethnic grievances"
-0.729907027199357,0.421617306027852,NA,NA,NA,NA,1.356432,"ethnic_id","expo_5yr_10km_bin","no_int",1074,843.89640470544,809.042387779958,"Kenya",NA,4,"state","Kenya (4)","Ethnic ID"
-0.753328207993508,0.482026609764788,NA,NA,NA,NA,1.356432,"ethnic_id","expo_reb_5yr_10km_bin","no_int",1074,844.568502782096,809.714485856614,"Kenya",NA,4,"rebel","Kenya (4)","Ethnic ID"
-0.719955987193824,0.486562025603062,-1.06444142279426,0.471361634072961,0.992660557245214,0.850291235991224,1.381624,"ethnic_id","expo_reb_5yr_10km_bin","EOSV_rebel",1074,851.726093245045,806.913785769426,"Kenya",NA,4,"rebel","Kenya (4)","Ethnic ID"
1.15167069468394,0.495007084310707,NA,NA,NA,NA,1.356432,"ethnic_id","expo_bf5yr_10km_bin","no_int",1074,841.970471847278,807.116454921796,"Kenya",NA,4,"state","Kenya (4)","Ethnic ID"
-0.320130506402184,0.15337169724096,NA,NA,NA,NA,2.617136,"ethnic_fairtreat","expo_5yr_10km_bin","no_int",2186,2503.19722662133,2463.36842594017,"Kenya",NA,5,"state","Kenya (5)","Ethnic grievances"
0.0587579516779532,0.170862579947861,NA,NA,NA,NA,2.617136,"ethnic_fairtreat","expo_reb_5yr_10km_bin","no_int",2186,2507.5834706855,2467.75467000434,"Kenya",NA,5,"rebel","Kenya (5)","Ethnic grievances"
0.134732452612236,0.180116475482376,0.468177591153353,0.115880076625986,-0.346631016895475,0.337534577313629,2.664568,"ethnic_fairtreat","expo_reb_5yr_10km_bin","EOSV_rebel",2186,2506.67837020217,2455.46991218354,"Kenya",NA,5,"rebel","Kenya (5)","Ethnic grievances"
0.0866698264427466,0.150114748454313,NA,NA,NA,NA,2.617136,"ethnic_fairtreat","expo_bf5yr_10km_bin","no_int",2186,2507.36985771691,2467.54105703576,"Kenya",NA,5,"state","Kenya (5)","Ethnic grievances"
-0.0750492258591803,0.226756715180257,NA,NA,NA,NA,2.690064,"ethnic_id","expo_5yr_10km_bin","no_int",2342,1403.62050066519,1363.30917685608,"Kenya",NA,5,"state","Kenya (5)","Ethnic ID"
-0.154283812345939,0.267862499548953,NA,NA,NA,NA,2.690064,"ethnic_id","expo_reb_5yr_10km_bin","no_int",2342,1403.39214084529,1363.08081703618,"Kenya",NA,5,"rebel","Kenya (5)","Ethnic ID"
-0.123826378633973,0.272303871251575,-0.0754583471471148,0.186182202052815,-0.275629738879038,0.534398192661703,2.740616,"ethnic_id","expo_reb_5yr_10km_bin","EOSV_rebel",2342,1418.20546850835,1366.37662361093,"Kenya",NA,5,"rebel","Kenya (5)","Ethnic ID"
0.0621593944019905,0.221508987661642,NA,NA,NA,NA,2.690064,"ethnic_id","expo_bf5yr_10km_bin","no_int",2342,1403.6531227209,1363.3417989118,"Kenya",NA,5,"state","Kenya (5)","Ethnic ID"
0.490447729961756,0.195690293620293,NA,NA,NA,NA,2.682728,"ethnic_fairtreat","expo_5yr_10km_bin","no_int",2316,2569.72538575211,2529.49220788126,"Kenya",NA,6,"state","Kenya (6)","Ethnic grievances"
