"dep_var","violence_var","int","mean","lwr","upr","lwr90","upr90"
"ethnic_fairtreat","expo_2yr_10km_bin","EOSV_state0",-0.0313352349809821,-0.0595908351652916,-0.00184218662656984,-0.0559506723859395,-0.00528936788910246
"ethnic_fairtreat","expo_2yr_10km_bin","EOSV_state1",0.0136440810801729,-0.0271069618062222,0.0574531678427178,-0.0221540062138955,0.0502240085554648
"ethnic_fairtreat","expo_2yr_10km_bin","no_int",-0.00460814778820033,-0.023205947186957,0.0137229960110305,-0.0201268887014398,0.0105096111156344
"ethnic_fairtreat","expo_reb_2yr_10km_bin","EOSV_rebel0",0.0245628284725319,-0.000876387515219397,0.0516889931370128,0.00319853370341179,0.0471956622073649
"ethnic_fairtreat","expo_reb_2yr_10km_bin","EOSV_rebel1",0.0770598335839749,0.0107123969636781,0.149318023341909,0.0239772917829529,0.139728903126767
"ethnic_fairtreat","expo_reb_2yr_10km_bin","no_int",0.0284059991821645,0.00319918627506148,0.0553670493470653,0.0068697318681388,0.0514316865775125
"ethnic_id","expo_2yr_10km_bin","EOSV_state0",0.0170885036919477,0.00393649024666153,0.0323412875738124,0.0054848343546457,0.0296761972290084
"ethnic_id","expo_2yr_10km_bin","EOSV_state1",-0.00403501140255774,-0.027936851882076,0.0236807451324975,-0.0251161177105116,0.0183470000229804
"ethnic_id","expo_2yr_10km_bin","no_int",0.00694118389750586,-0.00461942766537852,0.0186390091734552,-0.00280386602313138,0.0164960343395614
"ethnic_id","expo_reb_2yr_10km_bin","EOSV_rebel0",-0.00162332979599027,-0.0118896453544689,0.00990455657337412,-0.0103724730426312,0.00747740740907604
"ethnic_id","expo_reb_2yr_10km_bin","EOSV_rebel1",-0.009639847893889,-0.0258135715807502,0.0115055092034862,-0.0239608775074219,0.00621864792655354
"ethnic_id","expo_reb_2yr_10km_bin","no_int",-0.00269544436886305,-0.0128219633184369,0.00874143086492779,-0.0113305886985586,0.00593479649667319
"ethnic_fairtreat","expo_5yr_10km_bin","EOSV_state0",-0.0105310733909567,-0.0264225714562871,0.00578618440928796,-0.0241452308170763,0.0028076958066623
"ethnic_fairtreat","expo_5yr_10km_bin","EOSV_state1",0.0502161079242668,0.02745915668719,0.07683420819792,0.0312046189107091,0.0716161435226312
"ethnic_fairtreat","expo_5yr_10km_bin","no_int",0.00620208204370597,-0.00345018949006837,0.0165884150907221,-0.00175058353875975,0.0150936515566229
"ethnic_fairtreat","expo_reb_5yr_10km_bin","EOSV_rebel0",-0.00510545841780259,-0.0288606293237222,0.0172872777088366,-0.0249650803884851,0.0142252359717803
"ethnic_fairtreat","expo_reb_5yr_10km_bin","EOSV_rebel1",0.0338190248897725,-0.0149419013978051,0.0845318180071474,-0.00771842861529207,0.0750221208794098
"ethnic_fairtreat","expo_reb_5yr_10km_bin","no_int",0.00347823755527625,-0.0154820803853674,0.0236163634434931,-0.0127951929751598,0.0206625629714678
"ethnic_id","expo_5yr_10km_bin","EOSV_state0",0.0102781494053141,0.00491402192778882,0.017095201488454,0.00578559066316595,0.0156081531896525
"ethnic_id","expo_5yr_10km_bin","EOSV_state1",0.0208394003167243,0.0103524138866205,0.0337787720001206,0.0115675887321226,0.0310560947755854
